ID,Distributor,Product,Duration,Destination,Sales,Commission,Gender,Age,Target
9255,D3,P2,94,City_B,344.5843618642249,16.686909624653232,Male,23,0
1562,D1,P1,54,City_A,151.1111823213394,29.401495172319425,Male,38,1
1671,D1,P1,65,City_B,450.7177808069888,36.67764544802434,Male,44,0
6088,D2,P3,66,City_A,191.99801819530887,44.77212080725571,Female,41,0
6670,D2,P1,58,City_A,72.93126954580522,10.972500498275675,Male,49,1
5934,D2,P2,80,City_C,403.36190502592467,7.523164546807107,Female,34,1
8830,D3,P1,81,City_B,70.73811326072257,30.016705846595652,Female,27,0
7946,D3,P1,86,City_A,152.16780641158655,17.13776228518364,Male,53,0
3509,D1,P3,9,City_B,254.48576778215025,9.913301913575193,Female,36,1
2003,D1,P2,76,City_B,164.89113624471207,22.8496651832997,Female,20,0
5867,D2,P3,29,City_C,389.633942840243,13.127358365044064,Female,55,0
169,D1,P3,79,City_C,372.1471948277863,38.980695004741634,Female,23,1
2589,D2,P2,54,City_C,484.73452448915594,45.24620851521285,Female,57,0
5906,D3,P1,24,City_C,182.69246376940347,17.177373334723338,Male,39,1
9530,D3,P1,85,City_B,381.7706961300905,38.185230601600466,Female,36,0
6385,D1,P3,39,City_A,239.70002923207653,30.85912823023291,Female,35,1
7825,D3,P3,67,City_A,292.1947577033881,8.105856934962077,Male,57,1
9780,D3,P1,56,City_A,416.61295898612,42.1803625068009,Male,42,0
4630,D1,P3,94,City_C,164.6634184279602,26.636079959979273,Male,33,1
8561,D2,P1,46,City_C,291.59242449760563,21.775963173810197,Female,42,1
9292,D2,P3,14,City_C,168.81127650481858,34.08859074421363,Male,49,0
6875,D2,P3,14,City_A,270.59080137689637,38.156911906574294,Female,20,0
6522,D2,P2,5,City_B,445.01358880572974,48.00751825897577,Female,52,0
8980,D2,P3,39,City_B,205.29982129493308,19.0274170638639,Female,56,1
6648,D2,P3,17,City_B,469.0274276021571,35.95253263698868,Female,47,0
9826,D3,P3,29,City_B,98.08688097081752,23.153378656548956,Male,49,1
211,D1,P2,97,City_B,388.9553745206375,35.07239601383142,Female,59,1
5279,D3,P1,73,City_A,390.1924149352856,39.77446229087073,Male,25,0
1920,D1,P1,35,City_C,491.9909671498703,30.66298003443137,Male,57,0
719,D1,P2,34,City_B,119.59252790207613,44.23880357963133,Female,22,0
4869,D1,P2,75,City_A,63.3257879638917,32.523947364033695,Female,61,1
7835,D3,P3,9,City_A,166.92847624686544,28.150486936508166,Female,57,1
1299,D2,P1,87,City_A,315.50228913226226,36.8321182069226,Male,61,0
9194,D1,P1,53,City_C,182.68473231942718,39.73136213678403,Female,32,0
4618,D1,P3,37,City_C,458.7192333319828,23.468114735859753,Female,46,0
3129,D3,P1,88,City_C,222.51284678199534,18.068679659127017,Male,34,0
9796,D3,P2,27,City_B,63.74560718097082,18.62228246199074,Female,43,1
3980,D1,P3,74,City_C,202.45464893986286,18.848531803166797,Male,35,1
9925,D1,P3,96,City_C,146.76587901713467,23.018319249653207,Male,45,1
8318,D3,P1,75,City_C,369.2580367428122,14.96062643860865,Female,58,0
4394,D2,P1,79,City_C,130.9883512545636,42.20422850403095,Female,22,1
1288,D2,P3,15,City_C,361.28436783293154,37.51433989995975,Male,37,1
4356,D3,P2,64,City_C,120.663088325894,23.002378899846416,Male,24,0
7014,D3,P2,99,City_A,91.77764009502539,6.812541981914293,Female,52,0
3886,D3,P1,18,City_A,181.9959031678848,9.042464262453707,Female,54,0
5750,D2,P2,97,City_C,316.8885326562994,46.98610897914959,Female,45,0
9170,D3,P2,80,City_B,116.76847277220594,38.24481518059806,Male,18,1
2408,D3,P2,71,City_B,429.22232799360165,21.97058683429253,Male,42,0
2014,D1,P2,92,City_C,498.71308228859016,15.123643283572257,Male,60,1
5154,D3,P1,61,City_C,300.7795041711739,35.95210376321854,Female,41,1
8552,D3,P1,3,City_A,186.48063832900428,31.089339896510577,Male,31,0
4377,D1,P3,58,City_C,217.61327289132308,46.95007270282571,Male,45,0
8823,D2,P2,68,City_C,463.8965006736767,14.305378600361614,Female,22,0
4274,D3,P1,99,City_A,293.3514794626071,16.274077705138282,Male,25,1
5826,D1,P2,5,City_C,128.2420946395044,11.33431909883343,Male,37,0
6700,D2,P2,39,City_B,279.9231696278272,28.061943594656334,Male,29,1
7244,D1,P1,50,City_C,75.95423312794361,33.897621740324794,Male,33,1
450,D1,P2,59,City_B,283.8125606705633,38.40305634062021,Male,63,1
2228,D2,P2,89,City_C,56.48118185666897,39.67912347861285,Male,43,0
5757,D1,P1,40,City_A,224.84004834025737,11.215093061052102,Male,36,0
811,D1,P3,79,City_C,108.55448188874826,40.06043880840758,Female,56,1
4181,D2,P2,63,City_A,421.8793697005778,14.594680471976215,Female,28,1
9001,D3,P1,73,City_B,115.61135561747665,30.29444137801536,Male,36,1
5439,D1,P2,98,City_B,288.0703424484783,8.679171575752717,Male,58,1
7534,D3,P1,68,City_A,402.66784630245485,34.897874360567805,Female,36,1
6370,D1,P2,96,City_B,220.4669271244094,8.864603450347275,Male,53,1
8417,D3,P3,63,City_B,425.61609583843955,35.616361022931116,Female,64,1
1478,D2,P2,1,City_A,80.59300844703266,26.411226117003153,Female,21,0
1791,D3,P3,98,City_B,236.52992481994548,24.72578211279109,Male,38,1
2009,D2,P3,59,City_C,369.3662389850241,15.391927400512802,Male,44,1
683,D2,P3,50,City_B,344.59413045814955,48.32780390047996,Male,19,1
2817,D1,P2,56,City_A,451.6054327438583,38.80761458413518,Female,52,1
9432,D3,P2,94,City_C,492.88430320068437,13.00891979664857,Male,35,1
3775,D3,P3,31,City_B,431.07870114519534,9.479715507479238,Female,47,1
6496,D3,P3,82,City_C,344.2159701983735,7.352993070758487,Female,51,1
8879,D1,P3,55,City_C,301.0026014980418,39.857306960523516,Female,34,0
7362,D2,P2,75,City_A,412.3810773369796,26.996731361996464,Male,36,1
8367,D3,P2,34,City_C,99.41298077658446,38.558085984186555,Male,36,1
7475,D3,P2,35,City_A,224.39733725158612,49.940397390189624,Female,25,1
47,D2,P3,59,City_B,350.37191649806414,28.6915054038519,Male,33,0
31,D2,P2,8,City_C,371.05800559721,18.816121500892336,Female,56,0
8251,D1,P2,64,City_C,353.07276560916176,47.41085212996646,Female,60,0
6936,D3,P3,35,City_C,493.43069322366495,45.72894542418438,Female,45,1
1469,D3,P3,77,City_A,221.4618017011291,39.409429338168316,Male,55,0
1666,D1,P1,39,City_C,456.84986565178997,27.3227923509773,Male,37,1
1417,D2,P1,27,City_B,89.56722704091558,25.02285963098695,Male,45,1
6481,D3,P3,54,City_A,141.08835358243024,24.82454786347822,Male,64,1
4853,D2,P2,84,City_A,431.2972288893465,12.904427035865602,Female,55,0
2471,D1,P2,68,City_C,371.3566697531282,26.521267491124622,Male,39,0
4374,D3,P3,24,City_C,122.51005405165331,38.354127792899334,Female,52,0
